level,points,death1,death2,death3,steps,date
15,78000,0,0,15,13964,2019-12-04 05:17:18
15,78000,0,0,15,10566,2019-12-04 05:23:36
15,78000,0,0,15,9701,2019-12-04 05:29:27
15,78000,0,0,15,12301,2019-12-04 05:36:46
15,78000,0,0,15,10931,2019-12-04 05:43:16
15,78000,0,0,15,10902,2019-12-04 05:49:46
15,78000,0,0,15,11169,2019-12-04 05:56:25
15,78000,0,0,15,10825,2019-12-04 06:02:52
15,78000,0,0,15,11082,2019-12-04 06:09:28
15,78000,0,0,15,9660,2019-12-04 06:15:14
15,78000,9,0,15,12605,2019-12-04 06:22:49
15,78000,0,0,15,10874,2019-12-04 06:29:23
15,78000,0,0,15,12576,2019-12-04 06:36:52
15,78000,0,0,15,13667,2019-12-04 06:45:05
15,78000,0,0,15,11405,2019-12-04 06:51:58
15,78000,0,0,15,11850,2019-12-04 06:59:03
15,78000,0,0,15,9410,2019-12-04 07:04:44
15,78000,3,0,15,12266,2019-12-04 07:12:02
15,78000,0,0,15,11605,2019-12-04 07:18:57
15,78000,3,4,15,12243,2019-12-04 07:26:14
15,78000,0,0,15,12371,2019-12-04 07:33:42
15,78000,5,0,15,11511,2019-12-04 07:40:38
15,78000,5,0,15,9435,2019-12-04 07:46:15
15,78000,0,0,15,10940,2019-12-04 07:52:47
15,78000,0,0,15,9874,2019-12-04 07:58:40
15,78000,0,0,15,13997,2019-12-04 08:06:59
15,78000,0,0,15,12852,2019-12-04 08:14:34
15,78000,11,0,15,12104,2019-12-04 08:21:42
15,78000,3,4,15,10547,2019-12-04 08:27:58
15,78000,0,0,15,9988,2019-12-04 09:26:41
15,78000,0,0,15,12968,2019-12-04 09:35:03
15,78000,9,9,15,11398,2019-12-04 09:42:28
15,78000,5,0,15,12775,2019-12-04 09:50:59
15,78000,0,0,15,11966,2019-12-04 09:58:13
15,78000,0,0,15,12835,2019-12-04 10:05:56
15,78000,0,0,15,12277,2019-12-04 10:13:24
15,78000,8,0,15,11092,2019-12-04 10:20:05
15,78000,0,0,15,10513,2019-12-04 10:26:27
15,78000,0,0,15,11232,2019-12-04 10:44:00
15,78000,0,0,15,10267,2019-12-04 10:50:12
15,78000,0,0,15,10866,2019-12-04 10:56:44
15,78000,0,0,15,12120,2019-12-04 11:04:02
15,78000,0,0,15,11222,2019-12-04 11:10:48
15,78000,0,0,15,14665,2019-12-04 11:19:37
15,78000,0,0,15,12322,2019-12-04 11:27:02
15,78000,0,0,15,12469,2019-12-04 11:34:31
15,78000,0,0,15,12313,2019-12-04 11:41:47
15,78000,0,0,15,10407,2019-12-04 11:47:58
15,78000,0,0,15,14627,2019-12-04 11:56:35
15,78000,0,0,15,12090,2019-12-04 12:03:43
15,78000,0,0,15,9162,2019-12-04 12:09:08
15,78000,0,0,15,12043,2019-12-04 12:16:14
