"Rank","Root Domain","Linking Root Domains","Domain Authority"
"310","ja.wikipedia.org","355,412","93"
"311","sciencedirect.com","594,101","93"
"312","webmd.com","689,937","93"
"313","apache.org","965,706","93"
"314","tripadvisor.com","651,917","93"
"315","oracle.com","590,486","93"
"316","mit.edu","684,050","93"
"317","pinterest.fr","120,933","93"
"318","sendspace.com","155,613","93"
"319","m.wikipedia.org","306,632","93"
"320","code.google.com","329,868","93"
"321","ebay.com","944,472","93"
"322","bing.com","995,679","93"
"323","goodreads.com","886,484","93"
"324","privacyshield.gov","436,925","93"
"325","theatlantic.com","557,943","93"
"326","standard.co.uk","234,771","93"
"327","sfgate.com","378,571","93"
"328","bp1.blogger.com","551,679","93"
"329","ggpht.com","740,293","93"
"330","feedproxy.google.com","776,028","93"
"331","academia.edu","370,858","93"
"332","photos1.blogger.com","869,492","93"
"333","amzn.to","894,500","93"
"334","sputniknews.com","182,288","93"
"335","addtoany.com","739,075","93"
"336","insider.com","302,352","93"
"337","sciencedaily.com","355,118","93"
"338","spiegel.de","349,616","93"
"339","ca.gov","482,997","93"
"340","naver.com","496,413","93"
"341","amazon.it","152,371","93"
"342","pexels.com","303,905","93"
"343","sedo.com","2,327,496","93"
"344","ziddu.com","188,326","93"
"345","surveymonkey.com","444,610","93"
"346","icann.org","610,735","93"
"347","psychologytoday.com","364,844","93"
"348","hm.com","187,039","93"
"349","target.com","286,018","93"
"350","discord.gg","286,869","93"
"351","zendesk.com","504,896","93"
"352","dailystar.co.uk","137,708","93"
"353","search.yahoo.com","468,057","93"
"354","doubleclick.net","611,203","93"
"355","xbox.com","187,717","93"
"356","secureserver.net","1,035,669","93"
"357","addthis.com","680,812","93"
"358","spotify.com","1,429,542","93"
"359","yelp.com","919,336","93"
"360","espn.com","383,646","93"
"361","dw.com","357,317","93"
"362","cbc.ca","469,370","93"
"363","bild.de","173,583","93"
"364","theverge.com","386,905","93"
"365","nginx.com","565,630","93"
"366","about.com","759,125","93"
"367","hp.com","471,996","93"
"368","yandex.ru","999,823","93"
"369","ietf.org","382,443","93"
"370","adssettings.google.com","372,751","93"
"371","nginx.org","654,407","93"
"372","unesco.org","320,889","93"
"373","harvard.edu","730,373","93"
"374","www.wix.com","719,241","93"
"375","cbsnews.com","534,363","93"
"376","oup.com","391,718","93"
"377","gnu.org","584,045","93"
"378","nationalgeographic.com","631,185","93"
"379","googleblog.com","261,590","93"
"380","washington.edu","360,990","93"
"381","wiley.com","587,018","93"
"382","francetvinfo.fr","159,648","93"
"383","20minutos.es","167,849","93"
"384","newyorker.com","417,384","93"
"385","guardian.co.uk","616,449","93"
"386","variety.com","280,544","93"
"387","ria.ru","184,154","93"
"388","tmz.com","220,852","93"
"389","psu.edu","314,779","92"
"390","scientificamerican.com","319,607","92"
"391","wiktionary.org","302,045","92"
"392","calameo.com","172,216","92"
"393","ucla.edu","267,958","92"
"394","asus.com","156,249","92"
"395","dreniq.com","269,415","92"
"396","lifehacker.com","234,980","92"
"397","dribbble.com","591,719","92"
"398","flickr.com","9,095,183","92"
"399","scoop.it","358,155","92"
"400","yale.edu","323,125","92"
"401","techradar.com","165,326","92"
"402","merriam-webster.com","294,959","92"
"403","digitaltrends.com","226,083","92"
"404","legifrance.gouv.fr","127,817","92"
"405","redhat.com","231,352","92"
"406","gfycat.com","131,096","92"
"407","blog.google","126,277","92"
"408","iubenda.com","218,590","92"
"409","alicdn.com","450,204","92"
"410","politico.com","276,487","92"
"411","sports.yahoo.com","217,325","92"
"412","liveinternet.ru","337,406","92"
"413","stackoverflow.com","362,377","92"
"414","greenpeace.org","188,301","92"
"415","xing.com","469,023","92"
"416","elsevier.com","290,315","92"
"417","udemy.com","185,896","92"
"418","ndtv.com","202,752","92"
"419","parallels.com","552,532","92"
"420","lenta.ru","120,153","92"
"421","focus.de","147,002","92"
"422","searchenginejournal.com","280,731","92"
"423","zdnet.com","294,334","92"
"424","sony.com","156,361","92"
"425","behance.net","851,352","92"
"426","tabelog.com","149,418","92"
"427","statista.com","301,266","92"
"428","indianexpress.com","228,610","92"
"429","sina.com.cn","1,018,095","92"
"430","answers.com","253,423","92"
"431","sky.com","224,007","92"
"432","ubuntu.com","225,318","92"
"433","scholastic.com","190,258","92"
"434","utexas.edu","268,698","92"
"435","video.google.com","220,873","92"
"436","house.gov","283,648","92"
"437","usgs.gov","231,793","92"
"438","depositfiles.com","142,926","92"
"439","dell.com","240,514","92"
"440","naver.jp","138,458","92"
"441","blog.fc2.com","375,434","92"
"442","weforum.org","214,552","92"
"443","unam.mx","136,307","92"
"444","amazon.ca","228,461","92"
"445","state.gov","321,502","92"
"446","ieee.org","228,126","92"
"447","bbci.co.uk","192,946","92"
"448","espn.go.com","257,772","92"
"449","a8.net","445,418","92"
"450","kompas.com","260,668","92"
"451","qz.com","243,148","92"
"452","thehill.com","220,935","92"
"453","123rf.com","222,970","92"
"454","fifa.com","167,887","92"
"455","pinterest.co.uk","218,291","92"
"456","cisco.com","237,199","92"
"457","box.com","273,317","92"
"458","fortune.com","264,638","92"
"459","mercurynews.com","207,791","92"
"460","google.co.id","184,248","92"
"461","si.com","183,087","92"
"462","so-net.ne.jp","172,105","92"
"463","python.org","190,000","92"
"464","kotaku.com","141,091","92"
"465","nl.wikipedia.org","169,416","92"
"466","thestar.com","233,663","92"
"467","yandex.com","1,430,048","92"
"468","example.com","268,240","92"
"469","goal.com","131,158","92"
"470","medicalnewstoday.com","269,377","92"
"471","windows.net","325,293","92"
"472","slate.com","384,870","92"
"473","mailchimp.com","365,904","92"
"474","okezone.com","145,657","92"
"475","zeit.de","177,461","92"
"476","people.com","240,110","92"
"477","fda.gov","359,858","92"
"478","ebay.de","129,432","92"
"479","investopedia.com","311,292","92"
"480","ibm.com","502,373","92"
"481","stores.jp","424,267","92"
"482","pcmag.com","276,078","92"
"483","worldbank.org","261,184","92"
"484","foursquare.com","279,259","92"
"485","unicef.org","181,309","92"
"486","pewresearch.org","277,809","92"
"487","ebay.co.uk","224,914","92"
"488","usda.gov","392,702","92"
"489","ovh.co.uk","395,864","92"
"490","fastcompany.com","316,217","92"
"491","tes.com","413,841","92"
"492","xinhuanet.com","600,595","92"
"493","hindustantimes.com","210,395","92"
"494","wisc.edu","303,199","92"
"495","newscientist.com","226,477","92"
"496","uefa.com","143,732","92"
"497","eonline.com","251,526","92"
"498","imgur.com","1,370,852","92"
"499","theconversation.com","306,710","92"
"500","nifty.com","215,613","92"
